date,title,content,URL
"13 Mar, 2021",‘Respect to him’: Crystal Palace ace Zaha becomes first Premier League star NOT to take a knee after describing it as ‘degrading’,"Crystal Palace winger Wilfried Zaha made good on his vow not to take a knee anymore as he became the first Premier League star to go against the grain since the gesture was introduced. Zaha stood tall while others around him knelt before the kick-off as Palace took on West Brom in the Premier League on Saturday, making the 28-year-old Ivory Coast star the first footballer in England’s top flight to shun the move. 🗣""I will continue to stand tall""Wilfried Zaha becomes first Premier League player to not take a kneepic.twitter.com/1EKG1WMbyl The former Manchester United star initially explained his decision back in February, saying:“I feel like taking a knee is degrading. “Growing up, my parents just let me know that I should just be proud to be black, no matter what, and I just think we should stand tall. “I think the meaning behind the whole thing is becoming something that we just do now. That’s not enough. I’m not going to take the knee.” Players in England adopted the gesture on the resumption of football last June, amid the swell of the blacklivesmatter movement following the death of George Floyd at the hands of police in America. blacklivesmatter signs can still be found at Premier League stadiums, although the league itself has since replaced logos bearing the blacklivesmatter name with a ‘No Room for Racism’ message on players’ shirts instead. On Saturday at Selhurst Park, Zaha stood with his hands behind his back and facing forwards while others on the pitch – including officials – dropped to one knee. The act from the forward won widespread praise on social media. “Respectful decision...I understand where he is coming from. Half the players and people do it to fulfill righteousness, you might as well stop,”wroteone fan. “Stop the kneeling. It doesn’t help anything [or] anyone. We need concrete action,”wroteanother. “Respect to him. Taking a knee isn’t going to change anything and it undermines the whole thing,”read another response. Zaha refuses to add his voice by kneeling! Kept his word. He becomes the only one not kneeling before kick-off in EPL.#zaha#CRYWBApic.twitter.com/gvhtriqaQh Respect to him ✊ Taking a knee isn’t going to change anything and it undermines the whole thing Ahead of kick-off, Zaha had released a statement to reiterate the thinking behind the step. ""There is no right or wrong but I feel kneeling just became a part of pre-match routine and at the moment, it doesn t matter whether we kneel or stand. Some of us still continue to receive abuse,”he said. Wilfried Zaha statement.#CPFCpic.twitter.com/kHF6AKd8D9 ""I know there is a lot of work being done behind the scenes at the Premier League and other authorities to make change, and I fully respect that, and everyone involved. I also fully respect my teammates and players at other clubs who continue to take the knee. ""As a society, I feel we should be encouraging better education in schools...and social media companies should be taking stronger action against people who abuse others – not just footballers – online. I now want to focus on football and enjoy playing. ""I will continue to stand tall."" Zaha is far from the only football figure to question the gesture. Players at second-tier Championship clubs Queens Park Rangers, Brentford, Bournemouth and Derby Countyare among thosenot to drop to one knee before games. Speaking to RT Sport in February, former Liverpool and England icon John Barnes said the gesture was ultimately just a token and could not change“systemic racism.” “Taking the knee highlights the problem, and it s been highlighting the problems since the George Floyd situation.That s all,”Barnes said. “…So if people feel that all they can do is highlight it, then take a knee. But if they feel they want to do more and taking a knee is a token gesture – and in many respects it is just a token gesture – if they decide not to do it because they want to do something else, I m fine [with that]. ""I wouldn t be taking a knee. However, I don t say that people shouldn t be taking a knee. But taking a knee does nothing apart from highlight the problem."" RT News App © Autonomous Nonprofit Organization “TV-Novosti”, 2005–2021. All rights reserved. This website uses cookies. Read RTPrivacy policyto find out more. ",https://www.rt.com/sport/518038-respect-to-him-crystal-palace-zaha-not-take-knee/
"11 Mar, 2021","LA police was unprepared for George Floyd protest violence ‘not seen in years,’ believed it would be ‘peaceful’, report says","LAPD was poorly trained, demoralized and disorganized during the May-June 2020 riots, and mistakenly believed they would be peaceful instead of featuring violent and organized “disrupters,” according to a new report. Areportcommissioned by the Los Angeles, California city council faults the police for arresting too many people, and not enough violent rioters; using too much nonlethal ammunition, but not stopping the riots fast enough; jailing too many protesters, but not setting up field jails; and assuming“racial justice”protests would be peaceful based on prior experience, and therefore not being “proactive” about the unprecedented and unexpected violence that followed the death of George Floyd. Those are just some of the things that leap out of the report authored by a panel of former police commanders led by attorney Gerald Chaleff, and published Thursday. BREAKING: First after-action report on LAPD s handling of the summer protests and unrest finds poor planning, inadequate training, disregard for rules on mass arrests and crowd control established after past failures to manage protests (w/@AlpertReyes):https://t.co/KLVcCClJwq Floyd died in Minneapolis, Minnesota on May 25, 2020. Riots broke out in the Twin Cities the very next day. Protests in downtown Los Angeles on May 27-28 were“marred by an escalating level of violence and criminality,”the report says, but LAPD treated them as isolated incidents rather than“as a manifestation of a larger expression of outrage that was spreading across”the US. The violence caught the LAPD off guard, as they“had believed that the good relationships which had been developed with various communities would cause any protests to be peaceful, as they had been in the past.” Hiding among the protesters were“disrupters”who threw dangerous objects at police and targeted them with lasers, the report noted, in a level of violence that“had not been seen at demonstrations in years.”Yet it faults the LAPD leadership for not being“proactive”about containing the groups whose objective was to“create chaos and confrontation with the police,”among other things. The Chaleff report reveals that some groups of looters“appeared to be well coordinated,”using scouts and“convoys of up to ten cars”to target a location, only to move elsewhere when police responded. Other groups that directly targeted police for violence were“dramatically”different from such rioters in the past, more violent and better organized. They threw“bricks and concrete blocks, using firecrackers or explosive devices, and pointing lasers at officers’ eyes.” Another part of the report talks about the“unrelenting”use of lasers in both LA and places“such asPortland,”as well as“containers filled with urine, frozen water bottles, and caustic chemicals such as bleach.”LAPD reported that 106 officers were injured during the riots. “The Department must do everything it can to provide for officer safety and at the same time protect the safety of those who are peacefully protesting,”the report said, without specifying as to how. LAPD did not establish a command post until May 30 and the first field jail until June 2. More than 4,000 people were arrested between May 29 and June 2 – many of whom have sued the city claiming that under municipal code, they should have only been issued a citation and released. There was also“chaos of command”as officers often received conflicting orders from their superiors. Chaleff and his team found that LAPD had lost nearly half of its senior command staff between 2018 and 2020, leaving it without leadership skilled in“public order policing,”as riot control is now called. The rank and file were also not properly trained in riot control techniques, including the“problematic”deployment of 40mm riot guns, as the dynamics of their use“dramatically change in a crowd control situation when the person engaging in the criminal behavior is not standing still.” The report cited a survey by the Los Angeles Police Protective League showing the department’s morale is close to rock bottom. More than 99 percent of officers do not feel supported by the mayor or the city council, while 86.33 percent do not feel supported by the LAPD leadership. The report made 67 recommendations to the city council,  but the chief among them was to create a high-level position of a“Strategic Emergency Manager”within the LAPD. This displeased blacklivesmatter activists, however, who called it undue criminalization of peaceful protests. What the report“doesn’t do is really critique the notion that LAPD should be putting down righteous protests in the first place,”Melina Abdullah, co-founder of blacklivesmatter -LA, told the Los Angeles Times. Think your friends would be interested? Share this story! RT News App © Autonomous Nonprofit Organization “TV-Novosti”, 2005–2021. All rights reserved. This website uses cookies. Read RTPrivacy policyto find out more. ",https://www.rt.com/usa/517883-lapd-george-floyd-riot-failure/
"7 Mar, 2021",New York Times mocked for attempting to downplay 2020 blacklivesmatter protest violence as ‘misinformation’,"The New York Times has been lambasted online for bizarrely claiming that violence surrounding blacklivesmatter protests in 2020 was merely “misinformation” and likening it to Deep State conspiracy theories. The Gray Lady’s Jennifer Medina sought to unravel the mystery behind Latinos in the US voting Republican, in a Fridayarticletitled:“A Vexing Question for Democrats: What Drives Latino Men to Republicans?” Medina teased out the motivations of Latino Republicans through a series of interviews, before attempting to conflate the notion that the “deep state” had taken over the government during the Trump administration or that“ blacklivesmatter protests caused widespread violence,”dismissing both ideas as “misinformation” within the same breath. “Some of the frustrations voiced by Hispanic Republican men are stoked by misinformation, including conspiracy theories claiming that the deep state took over during the Trump administration and a belief that blacklivesmatter protests caused widespread violence.” Needless to say, the ever-watchful eye of Twitter did not let this claim about widespread violence slide. One Twitter user was blunt in his analysis:“The New York Times is lying.” The New York Times is lying.pic.twitter.com/3w1AP02B1Q Others criticized the ‘paper of record’ for using weasel words to detract from the gravity and scale of the violence witnessed throughout the blacklivesmatter protests across the US in 2020. Has anybody noticed that the lying media slips in the weasel word “widespread” whenever it wants to hand you a bunch of bullshit? Widespread can mean anything, so no matter how much looting and rioting were done by blacklivesmatter , the NYTs will say it wasn’t enough to be “widespread.” According toForbes, between George Floyd’s death at the hands of the Minneapolis police department on May 25 and June 8, 2020, at least 19 people died during the protests. There were many injuries and hospitalizations on both sides of the security barricades throughout the protests and riots which took place across the US in 2020. Six officers werereportedlybadly injured in just one 24-hour period of the Seattle riots in 2020. According to onestudy,“115 people were shot in the neck or head between May 26 and July 27”by police-fired Kinetic Impact Projectiles (KIPs). Others highlighted the slew of businesses that were damaged or destroyed during the blacklivesmatter protests down the street from the NYT. All.of the smal business across Manhattan that were destroyed need to send them the bill NYT... your own political commissar BRAGGED about it.pic.twitter.com/PlZyKlTwFN Others still drew a comparison between the NYT’s attempt to pull a fast one and the now-infamous line from MSNBC’s coverage of the riots. Still my fav.https://t.co/8ncdnDz2Fz Think your friends would be interested? Share this story! RT News App © Autonomous Nonprofit Organization “TV-Novosti”, 2005–2021. All rights reserved. This website uses cookies. Read RTPrivacy policyto find out more. ",https://www.rt.com/usa/517458-nyt-claims- blacklivesmatter -violence-misinformation/
"6 Mar, 2021"," blacklivesmatter backfire? US public opinion shifts on George Floyd s death, law & order, as racial divide widens after summer of riots – poll","US public opinion on the death of George Floyd in Minneapolis police custody has shifted since the early days of last year s blacklivesmatter protests, with trust in law enforcement growing after violent unrest in the streets. Just 36 percent of respondents in a USA Today/Ipsospollreleased on Friday described Floyd s death as murder, down from 60 percent last June. The racial divide in how the May 25 tragedy is viewed is startling, with 64 percent of black poll participants and just 28 percent of whites saying Floyd was murdered. The 24-point plunge in public confidence that Floyd was murdered comes to light just three days before Derek Chauvin, the police officer who was shown on video kneeling on Floyd s neck, is scheduled to go to trial on murder and manslaughter charges. The shift came amid a decline in the blacklivesmatter movement s credibility and rising trust of law enforcement, and both of those trends coincided with riots across the nation. Public trust in blacklivesmatter has dropped to 50 percent this month from 60 percent last June, the poll showed. Just 42 percent of white respondents said they trusted blacklivesmatter . Trust in police and local law enforcement swung conversely, rising to 69 percent, including 77 percent of whites and 42 percent of blacks. But while the racial divide is wide, public opinion has shifted against blacklivesmatter among both white and black Americans. According to the poll, trust in blacklivesmatter has dropped 12 percentage points among black people since last June, while trust in the police has jumped 14 points. The percentage of white people who trust blacklivesmatter fell by eight points, while their trust in police rose 12 points. Along the same lines, Americans were about equally divided on the relative importance of protest rights and law and order last June. At the time, 45 percent said ensuring law and order was more important, and 44 percent said the right to protest is more vital. In the latest poll, 49 percent of respondents favored law and order, while 31 percent said protest rights were more important. The racial divide was evident on that question, too, with whites favoring law and order and blacks prioritizing protest rights. One point on which everyone agreed was the deterioration of race relations in the country. Forty percent of respondents said race relations have worsened, while just 13 percent said they have improved. Among blacks, 54 percent said race relations have gotten worse, and only 10 percent saw improvement. Despite the wide variance in opinions on the cause of Floyd s death and support for law enforcement, 60 percent of Americans want to see Chauvin convicted, including 54 percent of white respondents and 76 percent of blacks. That agreement remains despite increasing numbers of Americans believing that Floyd died as a result of police negligence or by accident. Defense lawyers for the officer havearguedthat Floyd died from an overdose of fentanyl and methamphetamine, as well as heart disease. He told officers,“I can t breathe”as they tried to put him in a squad car, which was before he was pinned on the pavement. Like this story? Share it with a friend! RT News App © Autonomous Nonprofit Organization “TV-Novosti”, 2005–2021. All rights reserved. This website uses cookies. Read RTPrivacy policyto find out more. ",https://www.rt.com/usa/517376- blacklivesmatter -public-opinion-poll/
"12 Feb, 2021","‘Those protests were dreadful’: UK Home Secretary says she ‘wouldn’t kneel’ for blacklivesmatter , kicking off online slugfest","Britain’s Home Secretary Priti Patel is no fan of the ‘ blacklivesmatter ’ movement, and her latest anti- blacklivesmatter declaration, in which she called the demonstrations “dreadful,” has ignited a storm of controversy online. Speaking to London-based radio station LBC on Friday, Patel told host Nick Ferrari that she wouldn’t“take the knee”for the blacklivesmatter movement, as so many professional athletes, entertainers, and evenpoliticiansare wont to do. “No I would not, I would not have at the time either. There are other ways in which people can express their opinions,”Patel said.“Protesting in the way in which people did last summer was not the right way at all.” Nick Ferrari - Would you take the knee, Priti Patel?#PritiPatel- No, I wouldn t have the time.#LBCpic.twitter.com/yCrovWuRJc Beginning in the US after the death of George Floyd in police custody in Minneapolis, Minnesota, blacklivesmatter protests and riots soon spread across the western world last summer. In the UK, protesters in London clashed with police, desecrated statues, and according to a majority of Brits,increased racial tensions. Patel called the demonstrations, which in London saw a mobpeltbottles and stones at police, as“dreadful.”Though her condemnation was unambiguous, it was not the first time she’s lobbed some harsh words at blacklivesmatter . She described the movement’s protests as rife with“hooliganism and thuggery”in October, and told rioters in June that“there is no excuse”for vandalizing Britain’s war memorials. “There are other ways in which those discussions can take place and, also, quite frankly I didn t support that attempt to re-write history,”she added, referring to certain councilspurgingthe names of ‘problematic’ historical figures from their street names.“I felt that that was wrong.” Her refusal to entertain the idea of kneeing for blacklivesmatter earned her praise from the British right. Quite right, Home Secretary! 👍 Whenever anyone trends on this website - Priti Patel today for example - it s because they ve said something manifestly provable, logical and accurate. Completely agree, well said Minister@pritipatelhttps://t.co/srLl5hnSGU However, she also drew scorn from the left, with one commenterdescribingher as“one of the most repulsive individuals ever to hold high office in a British govt.” Sometimes I think when Boris Johnson needs the public to be distracted from his failures he just pushes Priti Patel out the door and says ""Go be yourself!"". The number of times I’ve needed to protect my energy from the ramblings of Priti Patel... wheww! 🙅🏽‍♀️ Weird how people who are told to protest *peacefully* if they want their grievances to be taken seriously by politicians get criticised by Priti Patel for kneeling. Though Prime Minister Boris Johnson recently issued awhispered declarationthat“there’s nothing wrong with being woke,”several of his ministers have pushed back against the liberal orthodoxy that saw blacklivesmatter celebrated across the west over the last year, often to the chagrin of the liberal press. Equalities Minister Liz Trusscalledon the government late last year to abandon its decade-long focus on“fashionable”issues of race, gender and sexual orientation, and focus on fighting poverty and income inequality instead. Days beforehand, the governmentscrappedmandatory“unconscious bias training”for civil servants, with Cabinet Office Minister Julia Lopez stating that bias training“may not only activate and reinforce unhelpful stereotypes, [it] may provoke negative reactions and actually make people exacerbate their biases.” Think your friends would be interested? Share this story! RT News App © Autonomous Nonprofit Organization “TV-Novosti”, 2005–2021. All rights reserved. This website uses cookies. Read RTPrivacy policyto find out more. ",https://www.rt.com/uk/515424-priti-patel-knee- blacklivesmatter /
"12 Feb, 2021",Charges DISMISSED against two Buffalo cops for ‘assault’ on 75-year-old protester who broke his skull in fall,"Two Buffalo, New York police officers escaped criminal charges for shoving an elderly man during last year’s George Floyd protests. Their indictment for breaking his skull prompted the resignation of the city’s riot police unit. Second-degree assault charges against officers Aaron Torgalski and Robert McCabe were dismissed, Erie County District Attorney John Flynn announced on Thursday. They remain on suspension and still face an internal disciplinary investigation, however. NEW: Charges against the two Buffalo Police officers who shoved a protester to the ground have been dismissed. He suffered a fractured skull after he was pushedhttps://t.co/dLH6RxxhjK The Buffalo Police Benevolent Association was“extremely pleased”that a grand jury decided to dismiss the charges, adding that McCabe and Torgalski“were simply following departmental procedures and the directives of their superiors to clear Niagara Square despite working under extremely challenging circumstances,”according to a statement quoted byWGRZ-TV. The two officers werechargedin early June 2020, after a video emerged of them confronting the 75-year-old Martin Gugino and pushing him away. Gugino, a social justice activist well known in the community, struck the pavement with his head and suffered a skull fracture, spending several days in hospital. As video of the incident made rounds on social media, New York Governor Andrew Cuomo denounced their behavior as“wholly unjustified and utterly disgraceful,”demanding that they be fired. There was tremendous public pressure on the police, in the light of blacklivesmatter protests spreading across the US in the wake of Floyd’s death in Minneapolis, Minnesota the week prior. Members of the Buffalo PD’s Emergency Response Team reacted to the charging of their colleagues as well, however. All 57 of them resigned from the unit, while staying on with the department. In an ironic twist, Cuomo’s Covid-19 lockdown prevented the grand jury from convening to investigate the charges for months, and once it was able to meet, Flynn said he had“higher priority cases”to handle. The two officers are""still suspended pending the conclusion of the internal investigation,""according to a city spokesperson. It is unclear whether they will be reinstated or let go. Think your friends would be interested? Share this story! RT News App © Autonomous Nonprofit Organization “TV-Novosti”, 2005–2021. All rights reserved. This website uses cookies. Read RTPrivacy policyto find out more. ",https://www.rt.com/usa/515324-buffalo-police-protester-fall-charges/
"3 Feb, 2021","If blacklivesmatter wins Nobel, it should be renamed to ‘Mostly Peaceful’ Prize","While 2020 may be remembered as the year Orwell turned over in his grave – and also the year deemed the perfect ""match"" for Satan – 2021 might well be remembered for the year Alfred Nobel did back flips in his. is an author of 11 books, including the most recent,Thought Criminal. He was Professor of Liberal Arts at NYU from 2008 through 2019. Follow him on Twitter@TheAntiPCProf is an author of 11 books, including the most recent,Thought Criminal. He was Professor of Liberal Arts at NYU from 2008 through 2019. Follow him on Twitter@TheAntiPCProf The Nobel Peace Prize has often generated controversy over many of its dubiousnomineesand recipients. Secretary of State Henry Kissinger shared the prize with hiscounterpart, Le Duc Tho, “for jointly having negotiated a cease fire in Vietnam in 1973.” Kissinger won despite hisrolein the bombings in Cambodia and in the killings in ‘Operation Candor’. President Barack Obama wasawardedthe Nobel Peace Prize in 2009, inspiring him tobombseven countries as he managed to out-Bush G.W. Bush. The former Nobel secretarytoldthe AP news agency in 2015 that in awarding the prize to Obama, “the committee didn t achieve what it had hoped for.” You don’t say? Yet, one of the biggest jaw-droppers may be a current contender, the corporate-fundedMarxistfront group, blacklivesmatter . The nomination must make blacklivesmatter ’s sponsors proud. And how much do corporatesocialistslike blacklivesmatter ? As ofJune 2020, corporate America had pledged blacklivesmatter over $1.678 billion, led by Bank of America and cheap-labor lover Nike. blacklivesmatter was nominated for the Nobel Peace Prize by a Norwegian lawmaker. NBC Newsreported: “In his nomination letter, Petter Eide, a Socialist Left member of the Storting, Norway s parliament, wrote that he had nominated blacklivesmatter ‘for their struggle against racism and racially motivated violence.’” By now, much has been said about blacklivesmatter ’sviolentroots. Idiscoveredattempts by blacklivesmatter (and its enablers) to disguise its history and ideology. But blacklivesmatter ’s scrubbing of its shady past has been to no avail, since its goals and tactics were on full display in the blacklivesmatter -inspired riots. Protests and riots, including looting and arson,rampagedthrough the US from May to December 2020. The violence that resulted in theaftermathof the killing of George Floyd in Minneapolis was the first “multi-state catastrophe event” ever declared for civil disorder by claim-tracking company Property Claim Services, Triple-I has said. iSnatch? Looters break into#AppleStore during#Washingtonriots over#GeorgeFloydkillingMORE:https://t.co/8mVil0f3HIpic.twitter.com/C7WzcqZvTc blacklivesmatter demonstrations have includedcallingfor the murder of police officers: “What do we want? Dead cops. When do we want it? Now!” On August 29, 2015, during a blacklivesmatter marchoutside the Minnesota State Fair in St. Paul, a chant rang out: “Pigs in a blanket, fry ‘em like bacon.” Inspired by blacklivesmatter , at least two police officers were murdered, one at point-blank range. On September 16, 2020, Axiosheadlined: “$1 billion-plus riot damage is most expensive in insurance history.” But noted in the report was the obligatory leftist cover for those who looted and set many cities ablaze. “The protests that took place in 140 U.S. cities this spring were mostly peaceful, but the arson, vandalism and looting that did occur will result in at least $1 billion to $2 billion of paid insurance claims.” In late August 2020, CNN infamously pushed the “mostly peaceful” mantra while a reporter was standing in front of a burning building in Kenosha, Wisconsin. CNN’s font actuallyread, “Fiery But Mostly Peaceful Protests After Police Shooting.” In May 2020, MSNBC’s correspondentstoodin front of a building on fire in Minneapolis, during a blacklivesmatter riot. Ali Velshi said, ""I want to be clear on how I characterize this. This is a, mostly a protest. It is not, it is not generally speaking, unruly. But fires have been started.” Dedication to the elimination of the family unit, chants to murder cops, the death of at least 19 people, and one to two billion dollars in property destruction – all this seems to have escaped the notice of the Norwegian lawmaker. Or maybe it hasn’t. Perhaps this is the all-encompassing goal of “social justice” – to destroy the fabric of the social body in order to “build back better.” And so, should blacklivesmatter win this coveted award, their honor should henceforth be known as the Nobel ‘Mostly Peaceful’ Prize. Like this story? Share it with a friend! The statements, views and opinions expressed in this column are solely those of the author and do not necessarily represent those of RT. RT News App © Autonomous Nonprofit Organization “TV-Novosti”, 2005–2021. All rights reserved. This website uses cookies. Read RTPrivacy policyto find out more. ",https://www.rt.com/op-ed/514456-black-lives-matter-nobel-nomination/
"29 Jan, 2021", blacklivesmatter movement nominated for 2021 Nobel Peace Prize by Norwegian MP,"The blacklivesmatter movement has been nominated for the 2021 Nobel Peace Prize by a Norwegian MP Petter Eide, who claims the impact of blacklivesmatter ’s anti-racism rallies has been felt far beyond the US alone. “I find that one of the key challenges we have seen in America, but also in Europe and Asia, is the kind of increasing conflict based on inequality,”Eide said. blacklivesmatter has become a very important worldwide movement to fight racial injustice. In his nomination papers, the MP hailed the movement for its ability to“mobilize people from all groups of society,”including in his native Norway, where some 12,000 people attended an Oslo blacklivesmatter rally in June. blacklivesmatter was initially founded in 2013 in response to George Zimmerman being acquitted of the murder of unarmed black US teen Trayvon Martin, who he shot dead in Florida in 2012. The movement gained traction following the killings of other black people, including George Floyd, who died in police custody in Minneapolis in July last year after officers put him in a chokehold, sparking global blacklivesmatter -led anti-racism protests. Under therulesfor the prestigious gong, any politician serving in any national government or assembly can enter nominations. The deadline to submit nominations is February 1, and the chosen Nobel Laureates will receive their prize at an award ceremony on December 10 in Oslo. The 2020 prize was given to the World Food Programme for its efforts to combat hunger. Like this story? Share it with a friend! RT News App © Autonomous Nonprofit Organization “TV-Novosti”, 2005–2021. All rights reserved. This website uses cookies. Read RTPrivacy policyto find out more. ",https://www.rt.com/news/514080- blacklivesmatter -nominated-nobel-peace-prize/
"15 Jan, 2021",Feds charge ANARCHIST who appeared on CNN after telling Capitol rioters to ‘burn this s**t down’,"The Utah activist who captured the fatal shooting of a woman by Capitol Police during the unrest on video, and told CNN and ABC about it, also instigated the destruction inside, federal charges against him say. According to theaffidavitseeking his arrest, filed in the federal court in Washington, DC, John Earle Sullivan didn’t just film last Wednesday’s storming of the US Capitol – he actually took part in the violence and egged on the destruction that led to the fatal shooting of Ashli Babbitt. According to the FBI, anarchist John Sullivan told police officers to stand down in the Speaker s Lobby, then agitated the crowd to attack the doors and windows while he filmed. Moments later Ashley Babbitt was shot and killed.https://t.co/4dsh8ivgka Democrats accused President Donald Trump of inciting an“insurrection”after a crowd of presumably his supporters broke into the Capitol during the joint session of Congress that was meeting to certify Joe Biden as the next US president. Babbitt was among the five people – including two Capitol Police officers – whose deaths were linked to the unrest. “Go! Go! Get this s**t!”Sullivan says in the video he turned over to the FBI, as the crowd is breaking through the door inside the Capitol, according to the affidavit. Babbitt is shot shortly thereafter as she attempts to enter through the breach. At other times he yells“Let’s go. This s**t is ours! F**k yeah,”and“Let’s burn this s**t down.” Hey@jaketapperI got a big scoop for you.pic.twitter.com/XlqMN8jNo5 He told a different story to CNN’s Anderson Cooper and ABC’s Good Morning America the evening and morning after, presenting himself as a left-wing activist who just came to document the protest. “I can t tell you that I agree with Trump or MAGA supporters,""Sullivan told Salt Lake City’s KSTU-TVlast Friday.“I can tell you I don t.”He did insist that his footage showed Trump supporters storming the Capitol, not Antifa as some claimed. Officially, Sullivan is a“civil rights activist”who runs Insurgence USA, an organization established in June 2020 amid the protests over the death of George Floyd. They say they“want to build local powers to enable the community to intervene in violence enacted by the state and government vigilantes,”rhetoric commonly used by blacklivesmatter and affiliated groups. John Sullivan faced charges here in Utah after organizing protests. His most recent video post on Intsa.https://t.co/hD7A90Cc2s Sullivan organized a June protest in Provo where a person was shot, and was arrested over it. A journalist with Provo’s KUTV news looked at the hashtags Sullivan has used on social media and they included both # blacklivesmatter and #antifa, as well as #abolishthepolice. Later in the summer, he delivered an expletive-laden speech at a protest in Washington, DC threatening to “rip Trump out of the White House,” chanting""It’s time for a revolution”and threatening to“burn this s**t down.” blacklivesmatter inc. threatening to “rip the president out of the White House” They say they won’t wait until the next election.They’re openly calling for a revolution.This is domestic terrorism on full display, out in the open. They don’t even try to hide it.pic.twitter.com/OyhNSzBEwu Sullivan“was at the forefront of pro-Trump violence in the Capitol, egging it on as he filmed,”said Grayzone journalist Max Blumenthal, butquestionedthe activist’s bona fides and accused him of“sabotaging” blacklivesmatter while posing as a civil rights leader. Activist communities around the country have“banished”Sullivan and consider him“a dangerous provocateur,”Blumenthal said onTwitter, citing the DC-based Black House News. Yet he was welcomed on Anderson Cooper’s CNN show, which“falsely”called him a left-wing activist and didn’t ask why he was at the Capitol. The night of the Capitol riot, Sullivan was welcomed on@andersoncooperto present himself as the heroic journalist who recorded Babbit s shooting. Cooper falsely called him a ""left-wing activist"" and didn t ask why he was actually in the Capitol. This was fodder for the Right.pic.twitter.com/LPezi5Hv09 Sullivan“is not blacklivesmatter or Antifa, and is out to wreck their cause,”Blumenthalwrote. OAN reporter Jack Posobiec noted that Sullivan had posted on Instagram about his contacts with the FBI. That doesn’t necessarily mean much, however, given the rush by many Democrats to report Trump supporters to federal authorities in the aftermath of the January 6 events. Anarchist John Sullivan was boasting on Instagram of his contacts with the FBI yesterday. Today they arrested him for rioting.pic.twitter.com/45YkbBWP7r Whoever Sullivan is actually working for may or may not be revealed at his trial. What stands out is the ease with which he was able to garner mainstream media attention and get people of completely opposite political persuasions to follow his lead at various protests. Think your friends would be interested? Share this story! RT News App © Autonomous Nonprofit Organization “TV-Novosti”, 2005–2021. All rights reserved. This website uses cookies. Read RTPrivacy policyto find out more. ",https://www.rt.com/usa/512571-capitol-riot-anarchist-provocateur-fbi/
"7 Jan, 2021","Getting warmer: While insisting Antifa has nothing to do with the Capitol riot, NYT finally admits it is a ‘movement’","After months of fervent denials and rioting, Antifa is no longer being written off as a mere ideology by a US establishment outlet, which graduated them to “a loosely organized collective of antifascist activists.” “There is no evidence that Antifa activists stormed the Capitol,” the New York Times affirmed on Wednesday, blaming “the far right” for making “untrue claims that antifascist activists infiltrated protests.” There is no evidence that the antifa movement — a loosely organized collective of antifascist activists — stormed the Capitol on Wednesday.https://t.co/YD3PlqDlGIpic.twitter.com/Gru5XbBtP5 While some on the ground would beg to differ, the fact that the New York Times is even referring to Antifa as a semi-organized group is a divergence from its previous coverage, which described it as “a movement or ideology” rather than a real organization. The outlet even argued it was “impossible” to know how many members of Antifa existed due to its cell-like organizational structure. The NYT was attempting to “debunk” a longstanding claim that Antifa followers were dressing up as Trump supporters and committing wanton acts of violence in order to make conservatives look bad — in this case at the Capitol riots on Wednesday, which turned bloody and left four people dead including a woman shot by police. However, conservative provocateur (and sometime Antifa victim) Andy Ngo actually agreed with the outlet for once, arguing the protesters filmed swarming the Capitol did not look to be “antifa people dressed in Trump gear or Trump costumes.” The ‘paper of record’ has regularly come down on the side of Antifa in the past, noting that “supporters” (if not members) viewed the street violence that has become a hallmark of the group as merely in service to a greater good. Right-wing ideas, the group supposedly believes, must not be presented to the general public, lest an unaffiliated individual fall in line with the “targeting of marginalized people.” The paper admitted doxxing and violent confrontation were part and parcel of the Antifa ‘ideology,’ while arguing in favor of such ‘preemptive strikes’ against the so-called alt-right. Even FBI director Christopher Wray paid lip service to the notion that Antifa was not an organized group in September, attempting to please both President Donald Trump and his detractors by agreeing that while there was no such thing as an Antifa member, the group’s supposed ideology was a “real thing” and that “violent anarchists” might “self-identify” with Antifa. As recently as September, the NYT was still claiming Antifa was “not an organization with a leader, a defined structure or membership roles.” Instead, it was “a loose movement of activists whose followers share some philosophies and tactics.” Any claims of Antifa members fighting alongside blacklivesmatter were declared delusional conspiracy theories fueled by an ‘irresponsible’ president. Trump has long sought to have Antifa labeled as a terrorist organization, particularly as violence raged in cities across the nation in the wake of the death of black Minneapolis man George Floyd at the hands of the police. Former attorney general William Barr claimed back in June that his Justice Department had evidence Antifa and its ideological allies had been “involved in instigating and participating in the violent activity” that followed Floyd’s death. However, even Barr insisted Antifa was “a very loosely organized group,” even while acknowledging there was “clearly some high degree of organization” within and what appeared to be serious funding. If you like this story, share it with a friend! RT News App © Autonomous Nonprofit Organization “TV-Novosti”, 2005–2021. All rights reserved. This website uses cookies. Read RTPrivacy policyto find out more. ",https://www.rt.com/usa/511822-nytimes-antifa-debunk-capitol/
